Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
S-6601-STN,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Shower System - Finish Product,280.7,301.15
6602,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Shower System - Finish Product,205.55,218.5
6602-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Shower System - Finish Product,235.6,251.5
S-6602,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Shower System - Finish Product,250.45,267.9
S-6602-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Shower System - Finish Product,295.5,317.4
6603,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Hand Shower System - Finish Product,356.8,384.9
6603-STN,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Hand Shower System - Finish Product,447.35,484.45
S-6603,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Hand Shower System - Finish Product,389.05,420.35
S-6603-STN,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Hand Shower System - Finish Product,489.5,530.8
6604,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Hand Shower System - Finish Product,379.3,409.65
6604-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Hand Shower System - Finish Product,478.85,519.1
S-6604,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Hand Shower System S-6604 - Finish Product,402.2,434.85
S-6604-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Hand Shower System S-6604 - Finish Product,507.95,551.1
6605,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Shower/Hand Shower System - Finish Product,577.3,759.45
6605-STN,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Shower/Hand Shower System - Finish Product,708.05,771.2
6606,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Shower/Hand Shower System - Finish Product,620.45,674.85
6606-STN,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Tub/Shower/Hand Shower System - Finish Product,756.5,824.55
S-6600,Bath,Shower and Tub Shower|Shower Valves,Transitional,Symmons Unity® Shower Valve and Trim - Finish Product,213.5,227.25
S-6600-STN,Bath,Shower and Tub Shower|Shower Valves,Transitional,Symmons Unity® Shower Valve and Trim - Finish Product,243.75,260.5
S-6600TS,Bath,Shower and Tub Shower|Tub Shower Valves,Transitional,Symmons Unity® Tub/Shower Valve and Trim - Finish Product,213.5,227.25
