Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
S-6098-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$840.00 ,$926.70 
S-6098-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$703.05 ,$829.20 
S-6098-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$703.05 ,$829.20 
S-6098-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$729.30 ,$857.20 
S-6098-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$729.30 ,$857.20 
S-6098-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$729.30 ,$832.35 
S-6098-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$729.30 ,$832.35 
S-60-G-H,Bath,Lavatory Faucets|Metering Faucets,,Symmons SCOTå¨ Metering Faucet with Temperature Selection ,$316.40 ,$453.90 
S-60-G-H,Bath,Lavatory Faucets|Metering Faucets,,Symmons SCOTå¨ Metering Faucet with Temperature Selection  + - Finish Product,$316.40 ,$453.90 
S-60-H,Bath,Lavatory Faucets|Metering Faucets,,Symmons SCOTå¨ Metering Faucet with Temperature Selection ,$289.70 ,$435.90 
S-60-H,Bath,Lavatory Faucets|Metering Faucets,,Symmons SCOTå¨ Metering Faucet with Temperature Selection  + - Finish Product,$289.70 ,$435.90 
S-61,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection,$249.55 ,$375.55 
S-61,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection + - Finish Product,$249.55 ,$375.55 
S-61-G,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection,$275.85 ,$393.50 
S-61-G,Bath,Lavatory Faucets|Metering Faucets,,Symmons Metering Faucet without Temperature Selection + - Finish Product,$275.85 ,$393.50 
S-6240,Bath,,,Symmons Ultra-Senseå¨ Transformer,$146.15 ,$137.60 
S-6240,Bath,,,Symmons Ultra-Senseå¨ Transformer + - Finish Product,$146.15 ,$137.60 
S-6240-12V,Bath,,,Symmons Ultra-Senseå¨ Transformer,$146.15 ,$137.60 
S-6240-12V,Bath,,,Symmons Ultra-Senseå¨ Transformer + - Finish Product,$146.15 ,$137.60 
